numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
204,5,0.525,0.275,0.5144478844169247,0.3774509803921566,0.14665828031108558,0.24819902791042406,True,0.2385376516241066
205,5,0.525,0.225,0.5144478844169247,0.3443627450980388,0.14665828031108558,0.1754633250554622,True,0.19889018406326248
206,5,0.525,0.175,0.5144478844169247,0.31250000000000006,0.14665828031108558,0.12336210889552215,False,0.0
207,5,0.525,0.125,0.5144478844169247,0.280637254901961,0.14665828031108558,0.08759856897381556,False,0.0
208,5,0.525,0.075,0.5144478844169247,0.24754901960784292,0.14665828031108558,0.061158116733405474,False,0.0
209,5,0.525,0.025,0.5144478844169247,0.21568627450980357,0.14665828031108558,0.04422630520416162,False,0.0
210,5,0.575,0.475,0.541795665634675,0.5269607843137256,0.1845643682364263,0.6764629399376373,True,0.5067334530221603
211,5,0.575,0.425,0.541795665634675,0.49999999999999994,0.1845643682364263,0.5987572328400678,True,0.4559885302383165
212,5,0.575,0.375,0.541795665634675,0.47058823529411753,0.1845643682364263,0.5098000031719462,True,0.3964430652760773
213,5,0.575,0.325,0.541795665634675,0.43872549019607887,0.1845643682364263,0.40299396954934585,True,0.32149977675151564
214,5,0.575,0.275,0.541795665634675,0.4068627450980395,0.1845643682364263,0.30283310849342665,True,0.2532016607936358
215,5,0.575,0.225,0.541795665634675,0.3749999999999999,0.1845643682364263,0.22298256854991366,True,0.20521386594816243
216,5,0.575,0.175,0.541795665634675,0.341911764705882,0.1845643682364263,0.1612348516983372,False,0.0
217,5,0.575,0.125,0.541795665634675,0.31004901960784337,0.1845643682364263,0.1170124165006198,False,0.0
218,5,0.575,0.075,0.541795665634675,0.27696078431372584,0.1845643682364263,0.08403006556198518,False,0.0
219,5,0.575,0.025,0.541795665634675,0.24387254901960753,0.1845643682364263,0.06117395981197401,False,0.0
220,5,0.625,0.475,0.568885448916409,0.5575980392156861,0.2315663756971809,0.7523858396013691,True,0.5321068736049112
221,5,0.625,0.425,0.568885448916409,0.5294117647058824,0.2315663756971809,0.678947382679876,True,0.4868546911932218
222,5,0.625,0.375,0.568885448916409,0.49999999999999994,0.2315663756971809,0.5923490518515161,True,0.4296681250707443
223,5,0.625,0.325,0.568885448916409,0.4681372549019607,0.2315663756971809,0.4859899530533434,True,0.35517177137061084
224,5,0.625,0.275,0.568885448916409,0.436274509803922,0.2315663756971809,0.3765324288103929,True,0.277576992225699
225,5,0.625,0.225,0.568885448916409,0.405637254901961,0.2315663756971809,0.2861840404532225,True,0.2178658587704896
